rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,delay,factorized_checkin_type,factorized_state,factorized_delay
545984.0,305525.0,connect,ended,-253.0,545963.0,720.0,0- No delay,1,0,0
545868.0,278398.0,mobile,ended,-73.0,,,0- No delay,0,0,0
530495.0,321872.0,mobile,ended,-36.0,,,0- No delay,0,0,0
546883.0,409910.0,mobile,ended,-42.0,,,0- No delay,0,0,0
545792.0,337217.0,mobile,ended,-72.0,,,0- No delay,0,0,0
547225.0,335258.0,mobile,ended,-150.0,,,0- No delay,0,0,0
550643.0,344272.0,mobile,ended,-574.0,,,0- No delay,0,0,0
545566.0,380345.0,mobile,ended,-66.0,,,0- No delay,0,0,0
547384.0,305307.0,mobile,ended,-12.0,,,0- No delay,0,0,0
543842.0,377496.0,mobile,ended,-6.0,,,0- No delay,0,0,0
550299.0,304775.0,connect,ended,-132.0,,,0- No delay,1,0,0
549037.0,390352.0,mobile,ended,-126.0,,,0- No delay,0,0,0
549012.0,321273.0,mobile,ended,-793.0,,,0- No delay,0,0,0
548952.0,356630.0,mobile,ended,-88.0,523527.0,720.0,0- No delay,0,0,0
532054.0,361862.0,mobile,ended,-115.0,,,0- No delay,0,0,0
548867.0,217819.0,mobile,ended,-134.0,544074.0,270.0,0- No delay,0,0,0
543989.0,397599.0,mobile,ended,-13.0,,,0- No delay,0,0,0
544350.0,373893.0,connect,ended,-43.0,,,0- No delay,1,0,0
532006.0,293327.0,mobile,ended,-48.0,,,0- No delay,0,0,0
548467.0,411007.0,mobile,ended,-205.0,,,0- No delay,0,0,0
545684.0,247971.0,mobile,ended,-29.0,,,0- No delay,0,0,0
548272.0,317330.0,connect,ended,-21.0,548279.0,0.0,0- No delay,1,0,0
550487.0,347859.0,mobile,ended,-80.0,,,0- No delay,0,0,0
547811.0,403871.0,mobile,ended,-122.0,,,0- No delay,0,0,0
547808.0,347319.0,mobile,ended,-141.0,,,0- No delay,0,0,0
547718.0,355900.0,connect,ended,-20.0,,,0- No delay,1,0,0
547684.0,347873.0,connect,ended,-79.0,,,0- No delay,1,0,0
550539.0,348225.0,mobile,ended,-59.0,,,0- No delay,0,0,0
545308.0,409467.0,mobile,ended,-26.0,,,0- No delay,0,0,0
547458.0,278640.0,connect,ended,-8.0,,,0- No delay,1,0,0
531169.0,396106.0,mobile,ended,-5.0,,,0- No delay,0,0,0
544882.0,267904.0,mobile,ended,-5.0,,,0- No delay,0,0,0
549357.0,364976.0,mobile,ended,-73.0,,,0- No delay,0,0,0
545476.0,410832.0,mobile,ended,-101.0,,,0- No delay,0,0,0
547169.0,374356.0,mobile,ended,-88.0,,,0- No delay,0,0,0
546222.0,307635.0,mobile,ended,-1.0,,,0- No delay,0,0,0
546423.0,394928.0,connect,ended,-63.0,,,0- No delay,1,0,0
550043.0,394950.0,mobile,ended,-30.0,,,0- No delay,0,0,0
