model_key,mileage,engine_power,fuel,paint_color,car_type,private_parking_available,has_gps,has_air_conditioning,automatic_car,has_getaround_connect,has_speed_regulator,winter_tires,rental_price_per_day,model_key_,fuel_,paint_color_,factorized_model_key,factorized_fuel,factorized_paint_color,factorized_car_type,factorized_private_parking_available,factorized_has_gps,factorized_has_air_conditioning,factorized_automatic_car,factorized_has_getaround_connect,factorized_has_speed_regulator,factorized_winter_tires,factorized_model_key_,factorized_fuel_,factorized_paint_color_
Citroën,117722,122,diesel,black,estate,False,False,False,False,False,False,True,96,Citroën,diesel,black,0,0,0,2,1,1,0,0,1,1,0,0,0,0
Citroën,236095,135,diesel,blue,estate,False,False,False,False,False,False,True,78,Citroën,diesel,blue,0,0,5,2,1,1,0,0,1,1,0,0,0,5
Renault,142031,85,diesel,black,estate,False,True,False,False,False,False,True,114,Renault,diesel,black,3,0,0,2,1,0,0,0,1,1,0,3,0,0
Peugeot,150807,105,diesel,black,estate,False,True,False,False,False,False,True,107,Peugeot,diesel,black,1,0,0,2,1,0,0,0,1,1,0,1,0,0
Peugeot,185085,105,diesel,white,estate,False,True,False,False,False,False,True,96,Peugeot,diesel,white,1,0,1,2,1,0,0,0,1,1,0,1,0,1
Citroën,163879,120,diesel,grey,estate,False,False,False,False,False,False,True,93,Citroën,diesel,grey,0,0,4,2,1,1,0,0,1,1,0,0,0,4
Audi,137744,200,petrol,black,estate,False,True,True,False,True,False,False,142,Audi,petrol,black,4,1,0,2,1,0,1,0,0,1,1,4,1,0
Renault,94829,85,diesel,grey,estate,False,False,False,False,False,False,False,112,Renault,diesel,grey,3,0,4,2,1,1,0,0,1,1,1,3,0,4
Citroën,58673,135,diesel,grey,estate,False,False,False,False,False,False,False,135,Citroën,diesel,grey,0,0,4,2,1,1,0,0,1,1,1,0,0,4
Citroën,183683,135,diesel,black,estate,False,False,False,False,False,False,True,35,Citroën,diesel,black,0,0,0,2,1,1,0,0,1,1,0,0,0,0
Citroën,153236,135,diesel,blue,estate,False,True,False,True,False,False,True,109,Citroën,diesel,blue,0,0,5,2,1,0,0,1,1,1,0,0,0,5
Peugeot,65933,105,diesel,white,estate,False,False,False,False,False,False,False,123,Peugeot,diesel,white,1,0,1,2,1,1,0,0,1,1,1,1,0,1
Citroën,77419,120,diesel,grey,estate,False,False,False,False,False,False,False,110,Citroën,diesel,grey,0,0,4,2,1,1,0,0,1,1,1,0,0,4
Citroën,170322,120,diesel,black,estate,False,False,False,False,False,False,False,113,Citroën,diesel,black,0,0,0,2,1,1,0,0,1,1,1,0,0,0
Renault,83133,85,diesel,white,estate,False,True,False,False,False,False,True,120,Renault,diesel,white,3,0,1,2,1,0,0,0,1,1,0,3,0,1
Citroën,140324,135,diesel,silver,estate,False,False,False,False,False,False,False,88,Citroën,diesel,silver,0,0,3,2,1,1,0,0,1,1,1,0,0,3
Peugeot,132871,85,diesel,grey,estate,True,False,False,False,False,False,True,66,Peugeot,diesel,grey,1,0,4,2,0,1,0,0,1,1,0,1,0,4
Peugeot,109741,100,diesel,grey,estate,True,True,False,False,False,False,True,110,Peugeot,diesel,grey,1,0,4,2,0,0,0,0,1,1,0,1,0,4
Citroën,168016,135,diesel,red,estate,False,True,False,False,True,True,True,110,Citroën,diesel,red,0,0,2,2,1,0,0,0,0,0,0,0,0,2
Renault,238036,120,diesel,black,estate,True,True,False,False,False,False,True,114,Renault,diesel,black,3,0,0,2,0,0,0,0,1,1,0,3,0,0
Renault,147228,85,diesel,silver,estate,True,True,False,False,False,False,True,103,Renault,diesel,silver,3,0,3,2,0,0,0,0,1,1,0,3,0,3
Audi,159659,190,diesel,black,estate,True,True,False,True,True,True,True,142,Audi,diesel,black,4,0,0,2,0,0,0,1,0,0,0,4,0,0
